Case,id,pass,branch,idcard,idcardforcompany,companyname,companyname2,customername,customersurname,mobilenumber,เลขประจำตัวผู้เสียภาษี,สาขา,หมายเลขบัตรบัตรประชาชนหรือพาสปอร์ต,ชื่อจริง,นามสกุล,dateofbirth,idcardexpiredate,หมู่ที่,หมู่บ้าน,ถนน,เบอร์โทรที่ติดต่อได้
Group(I)Discount(Y)TOL(Y)Mail(ENG)Address(Same),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี1,ฟันขาว จำกัด มหาชน,ทองดี1,ฟันขาว,0893334444,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778899
Group(I)Discount(Y)TOL(Y)Mail(ENG)Address(Diff),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี2,ฟันขาว จำกัด มหาชน,ทองเหลือง1,ฟันดำปิ๋ดปี๋,0893334445,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778900
Group(I)Discount(Y)TOL(N)Mail(ENG)Address(Same),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี3,ฟันขาว จำกัด มหาชน,ทองดี2,ฟันขาว,0893334446,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778901
Group(I)Discount(Y)TOL(N)Mail(ENG)Address(Diff),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี4,ฟันขาว จำกัด มหาชน,ทองเหลือง2,ฟันดำปิ๋ดปี๋,0893334447,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778902
Group(I)Discount(Y)TOL(Y)Mail(TH)Address(Same),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี5,ฟันขาว จำกัด มหาชน,ทองดี3,ฟันขาว,0893334448,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778903
Group(I)Discount(Y)TOL(Y)Mail(TH)Address(Diff),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี6,ฟันขาว จำกัด มหาชน,ทองเหลือง3,ฟันดำปิ๋ดปี๋,0893334449,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778904
Group(I)Discount(Y)TOL(N)Mail(TH)Address(Same),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี7,ฟันขาว จำกัด มหาชน,ทองดี4,ฟันขาว,0893334450,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778905
Group(I)Discount(Y)TOL(N)Mail(TH)Address(Diff),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี8,ฟันขาว จำกัด มหาชน,ทองเหลือง4,ฟันดำปิ๋ดปี๋,0893334451,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778906
Group(I)Discount(N)TOL(Y)Mail(Eng)Address(Same),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี1,ฟันขาว จำกัด มหาชน,ทองดี1,ฟันขาว,0893334452,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778907
Group(I)Discount(N)TOL(Y)Mail(Eng)Address(Diff),shopUser002,P@$$w0rdTRN,80000011,9882589414583,9882589414583,บริษัททองดี2,ฟันขาว จำกัด มหาชน,ทองเหลือง1,ฟันดำปิ๋ดปี๋,0893334453,1353220766221,99999,4662812820087,ทองดีจริง,ฟันขาวจริง,10/10/1991,10/10/2020,-,-,รามคำแหง,0987778908
